Predicted_Tags,True_Tags,Local_Recall
.net/c#/visual-studio,visual-studio-2008,0.0
sql,tsql,0.0
javascript/html,javascript,1.0
javascript,javascript,1.0
c#/.net/winforms,c#/.net/linq-to-sql,0.6666666666666666
c++,linux,0.0
python,python,1.0
iphone/cocoa-touch,iphone,1.0
c#/reflection,c#/data-binding,0.5
asp.net/c#,.net/asp.net,0.5
c#,c#,1.0
nhibernate,nhibernate,1.0
winforms/c#/.net,c#/winforms/winapi,0.6666666666666666
flash,html/flash,0.5
php,php,1.0
svn,svn,1.0
wpf/c#/.net,wpf,1.0
user-interface/c#,design/user-interface,0.5
asp.net,asp.net/data-binding,0.5
javascript/html/c#,javascript/html,1.0
python/windows,python/windows,1.0
c++/c#/.net,c++,1.0
c#,hibernate,0.0
java,php/http,0.0
html/ajax,javascript/html/ajax,0.6666666666666666
wpf/c#/.net,.net/wpf/multithreading,0.6666666666666666
sql-server/sql/sql-server-2005,sql-server/tsql,0.5
java,java/sql/design,0.3333333333333333
c#,.net,0.0
javascript,javascript,1.0
winforms/c#/.net/asp.net,c#/winforms,1.0
css,css,1.0
php,php/algorithm/excel,0.3333333333333333
c#/.net,java,0.0
javascript,javascript,1.0
silverlight,silverlight,1.0
c#,java,0.0
asp.net/c#,c#/asp.net,1.0
iphone,iphone,1.0
ruby/database,ruby/database,1.0
sharepoint/web-services,sharepoint,1.0
c++,c++/string,0.5
php,python,0.0
c#,perl/security,0.0
c#,java,0.0
wcf/c#,wcf/.net-3.5,0.5
asp.net-mvc/c#,c#/.net,0.5
algorithm,c#/vb.net,0.0
svn,svn,1.0
c#,design,0.0
c#,c#/oop,0.5
c#/.net,.net,1.0
asp.net/.net/c#,c#/asp.net,1.0
jquery,jquery,1.0
asp.net/c#,asp.net,1.0
mysql/sql/php,sql/mysql,1.0
c++/c#,c++,1.0
php,php/mysql,0.5
jquery,jquery,1.0
c#,unix,0.0
java,java,1.0
flex/actionscript-3,flex/flash/actionscript-3,0.6666666666666666
asp.net/c#/data-binding,asp.net,1.0
c#,java,0.0
c#,ruby/regex,0.0
python,python/exception,0.5
asp.net/.net/c#,c#/asp.net/validation,0.6666666666666666
c#,c#,1.0
asp.net-mvc/c#/.net,asp.net-mvc,1.0
asp.net/c#,asp.net/parsing,0.5
java/performance,java,1.0
jquery/javascript,jquery,1.0
asp.net/c#,c#/asp.net,1.0
asp.net-mvc,asp.net-mvc,1.0
c/c++,c,1.0
visual-studio/visual-studio-2008/.net,.net,1.0
java,java,1.0
sql-server/database/sql/sql-server-2005/database-design,sql-server/database,1.0
css/html,html/css,1.0
c#/.net/data-binding/winforms,winforms,1.0
c#,image,0.0
c#/.net,c++/algorithm,0.0
c#,sharepoint,0.0
eclipse/java,eclipse,1.0
asp.net/iis,asp.net,1.0
java,java,1.0
vb.net/.net,asp.net/oracle,0.0
unit-testing/c#/.net/visual-studio,visual-studio-2008/unit-testing,0.5
iphone,iphone,1.0
.net/sql-server,visual-studio,0.0
c#,c#,1.0
svn/version-control,svn,1.0
macos/cocoa,macos,1.0
c++,c++,1.0
java/.net,visual-studio-2008,0.0
javascript/ajax,javascript/ajax,1.0
nhibernate,nhibernate,1.0
xml/java/parsing,java/xml,1.0
xml/c#,java/xml,0.5
c#/c++/.net,c#,1.0
c#,c#/linq,0.5
java,java,1.0
c++,c++,1.0
silverlight,silverlight,1.0
c#/c++,c#/.net/windows,0.3333333333333333
iphone/cocoa-touch,iphone,1.0
c#,c++/unit-testing,0.0
version-control/.net,user-interface,0.0
jquery/javascript,jquery,1.0
ruby-on-rails/ruby,ruby-on-rails/ruby,1.0
sql,c#/linq/linq-to-sql,0.0
flex/actionscript-3/flash,actionscript-3,1.0
c#/.net,c#/.net,1.0
.net/c#,.net/visual-studio/visual-studio-2008,0.3333333333333333
asp.net,asp.net,1.0
c#,sharepoint,0.0
silverlight,silverlight,1.0
.net,.net/.net-3.5,0.5
python,c#/regex,0.0
c++/c,c#/c++,0.5
asp.net,asp.net/html,0.5
c#,c#,1.0
sql,sql,1.0
c++,c++,1.0
asp.net-mvc/c#/.net,.net/image,0.5
python,python/file,0.5
java,java,1.0
sql/sql-server,sql/sql-server-2005/performance,0.3333333333333333
multithreading/c#,c++/networking,0.0
asp.net/c#/.net,c#/asp.net,1.0
javascript/iphone,iphone,1.0
flash/css/actionscript-3,css/flash,1.0
xml/.net/c#,xml,1.0
testing,unit-testing,0.0
python,python,1.0
arrays/c#/c++/.net,c#/.net/asp.net/arrays,0.75
nhibernate/c#/.net,nhibernate,1.0
ruby-on-rails,ruby-on-rails/ruby,0.5
ruby-on-rails/ruby,ruby-on-rails,1.0
ruby/ruby-on-rails,ruby-on-rails,1.0
python,python,1.0
python,python,1.0
mysql/sql/php/database,php/mysql,1.0
c#,c++,0.0
html/php,php/image,0.5
c#,vb.net,0.0
macos,macos,1.0
sharepoint/asp.net/c#,sharepoint,1.0
java,java,1.0
c#/.net/asp.net,c#/asp.net,1.0
c#,c#,1.0
java/eclipse,java/eclipse,1.0
mysql/linux/user-interface,sql/linux,0.5
.net/c#,c#/.net,1.0
.net/sql-server/c#/asp.net,asp.net/sql-server-2005/.net-3.5,0.3333333333333333
eclipse/java,java/eclipse,1.0
c#,c++/winapi,0.0
xml/c#,sharepoint,0.0
php/linux/performance,php,1.0
java,java/c,0.5
security/linux,python/linux,0.5
oracle/sql/database,sql/oracle,1.0
xml/.net,xml/flex,0.5
java/macos,java/macos,1.0
design-patterns/c#,design-patterns,1.0
svn,svn,1.0
java,java,1.0
python,python,1.0
ruby-on-rails/.net,ruby-on-rails,1.0
data-binding/silverlight/c#,silverlight/performance/data-binding,0.6666666666666666
ruby-on-rails,ajax,0.0
c#/asp.net/.net,.net/web-services,0.5
cocoa-touch/iphone,iphone/objective-c/cocoa-touch,0.6666666666666666
c#/security,.net/windows/security,0.3333333333333333
reporting-services/regex,c#/reporting-services,0.5
c#/linq/.net/asp.net,.net/asp.net/linq,1.0
python,python,1.0
sql-server/c#/sql,sql-server,1.0
django/python,django,1.0
c#,java,0.0
javascript/html/css,.net/asp.net,0.0
asp.net/ajax,asp.net,1.0
xml/python/parsing,python/xml,1.0
c#,reporting-services,0.0
c#,nhibernate/design,0.0
java/xml,java/exception,0.5
css/html,html/css,1.0
java/windows,java,1.0
php/html,php,1.0
javascript,javascript/forms,0.5
java,java,1.0
multithreading/c#,c#/.net/algorithm,0.3333333333333333
flex,events,0.0
multithreading/c#,c#/design-patterns,0.5
sql-server/sql/tsql/sql-server-2005,sql/sql-server,1.0
c#/.net,c#/multithreading,0.5
django/python,django,1.0
sharepoint/asp.net/.net,asp.net/sharepoint,1.0
macos,objective-c/cocoa/macos,0.3333333333333333
c#,c#,1.0
hibernate/java,hibernate,1.0
python,python,1.0
java,java,1.0
c#,c/linux,0.0
flex,flex,1.0
asp.net-mvc,jquery/asp.net-mvc,0.5
java/c#,java,1.0
validation/asp.net,asp.net/validation,1.0
algorithm,c++,0.0
java,java,1.0
wpf/c#/.net,.net/wpf,1.0
sql/sql-server,sql,1.0
oracle/database/sql,oracle,1.0
c#,windows,0.0
winforms/c#/.net,.net/winforms,1.0
java,java/file,0.5
sharepoint,sharepoint,1.0
windows/c#/.net/winapi,c#/c++,0.5
java/firefox,firefox/java,1.0
python,python,1.0
jquery/javascript,javascript/jquery,1.0
python,ruby-on-rails/ruby,0.0
c#,reporting-services,0.0
sql/sql-server/database,sql-server/database,1.0
php,php,1.0
.net/c#,.net/winforms,0.5
c#/asp.net/.net,asp.net,1.0
wpf/data-binding/c#,c#/.net/wpf,0.6666666666666666
python,python,1.0
php/linux,php,1.0
java,java,1.0
java/.net,java,1.0
wpf/c#/.net,wpf,1.0
asp.net/c#,c#/asp.net/regex/validation,0.5
debugging/asp.net/vb.net,asp.net/firefox,0.5
java,c++/c,0.0
jquery/web-services/javascript/ajax,jquery/web-services,1.0
jquery/asp.net-mvc,jquery/asp.net-mvc,1.0
php,php/http,0.5
asp.net/c#,asp.net,1.0
ruby-on-rails/ruby,ruby-on-rails/ruby,1.0
web-services/php,php,1.0
jquery/javascript,jquery/forms,0.5
sql/sql-server,sql/performance/stored-procedures,0.3333333333333333
svn,svn,1.0
jquery/javascript,jquery,1.0
c#,mysql/database,0.0
asp.net/jquery/c#,asp.net/jquery,1.0
asp.net,.net/visual-studio,0.0
wpf/data-binding/c#,c#/wpf/data-binding,1.0
c#/.net/windows,windows,1.0
sql-server,sql/sql-server,0.5
ajax/javascript/ruby-on-rails,javascript/ruby-on-rails/ajax,1.0
c#/.net,.net,1.0
unit-testing,unit-testing,1.0
image,image,1.0
c#/.net,c#,1.0
c#/sql/sql-server,c#/sql,1.0
macos/windows/linux,windows/file,0.5
asp.net-mvc/jquery/asp.net,asp.net-mvc/jquery,1.0
java,java,1.0
c#/wpf/xml/data-binding,wpf/xml,1.0
c#/iphone,objective-c/cocoa-touch,0.0
css/html/jquery/javascript,javascript/css,1.0
silverlight,c#/silverlight,0.5
jquery/html/css,jquery,1.0
c#,sql,0.0
ajax/jquery/asp.net-mvc/javascript,jquery,1.0
user-interface,html/css,0.0
asp.net/jquery/javascript,asp.net/jquery/ajax,0.6666666666666666
asp.net-mvc/jquery,asp.net-mvc,1.0
c#/.net,c#,1.0
c#,c#/xml/linq,0.3333333333333333
mysql,mysql/sql,0.5
php,php,1.0
design-patterns,iphone/objective-c,0.0
jquery/ajax/javascript,jquery/ajax,1.0
css/html/jquery,html/css,1.0
wpf/silverlight/.net,wpf/silverlight,1.0
iphone/cocoa-touch,cocoa-touch,1.0
java,java/macos,0.5
c#/.net,c#/.net,1.0
jquery,javascript/jquery,0.5
javascript,javascript,1.0
c#,c#/performance,0.5
java,java,1.0
multithreading/python,multithreading,1.0
mysql/sql,mysql,1.0
asp.net,exception/css,0.0
sql/sql-server,reporting-services,0.0
xml/java/.net,java,1.0
sharepoint,sharepoint,1.0
c#/asp.net/.net,wpf,0.0
silverlight/security/.net,asp.net/silverlight,0.5
c#,java,0.0
linq/linq-to-sql/c#/.net,sql/database/linq,0.3333333333333333
asp.net/asp.net-mvc/security,asp.net-mvc,1.0
c++/c#,c++,1.0
c#,php/html,0.0
ruby-on-rails,ruby-on-rails/validation,0.5
c#,c/linux,0.0
c#,flex,0.0
sharepoint/c#,sharepoint,1.0
sql-server,sql-server/sql-server-2005,0.5
sql-server/.net,sql/sql-server,0.5
c#,c/unix,0.0
perl/php/windows,php/c++/windows/perl,0.75
c#/xml,c#/java/xml,0.6666666666666666
hibernate/java/sql,java/hibernate,1.0
asp.net/javascript,asp.net,1.0
.net,.net,1.0
c#/wpf,wpf/performance,0.5
asp.net/c#,c#/asp.net,1.0
sharepoint/.net,sharepoint/optimization,0.5
c#/.net,java,0.0
c#,vb.net,0.0
css/html,css,1.0
python,python,1.0
c++,c++,1.0
c#/.net,c#/.net/winforms/data-binding,0.5
wpf,c#/wpf,0.5
iphone,objective-c/iphone,0.5
c#,c#/python/windows,0.3333333333333333
sql/sql-server,c#/sql-server,0.5
sql/sql-server/c#/.net,java/sql,0.5
asp.net/winforms/c#/.net,.net/winforms,1.0
objective-c,iphone,0.0
c#,objective-c/cocoa,0.0
css,flash/actionscript-3,0.0
c#,xml/excel,0.0
mysql,mysql,1.0
c++/linux/c,linux,1.0
asp.net/jquery,asp.net/jquery,1.0
iis,iis,1.0
c#/.net,c#,1.0
javascript/jquery/asp.net-mvc,jquery/asp.net-mvc,1.0
sql/sql-server,sql/sql-server,1.0
vb.net/.net/c#/visual-studio,c#/.net/vb.net/visual-studio/visual-studio-2008,0.8
php/mysql,php,1.0
sharepoint,sharepoint,1.0
c#/.net,asp.net,0.0
linq/linq-to-sql/c#/.net,.net/sql/linq,0.6666666666666666
iis/asp.net/.net/c#,visual-studio,0.0
c#/.net,wpf,0.0
email/mysql,mysql,1.0
c#/multithreading,c#/multithreading,1.0
.net/c#/visual-studio,wpf/visual-studio-2008/debugging,0.0
mysql/database,algorithm,0.0
sql/database/sql-server,database/language-agnostic/design-patterns,0.3333333333333333
linux,bash,0.0
asp.net/c#,sql-server,0.0
asp.net,c#,0.0
php/vb.net,php/asp.net/vb.net/forms,0.5
c#,sharepoint,0.0
c/oracle,oracle/string,0.5
mysql,php/mysql,0.5
c#,language-agnostic/design-patterns,0.0
windows,windows,1.0
java,java/.net,0.5
winapi/c#/.net,c#/windows,0.5
iphone,iphone,1.0
wpf/c#/.net,wpf,1.0
c#,python,0.0
asp.net-mvc/c#,c#/asp.net-mvc,1.0
java/eclipse,java/eclipse,1.0
ruby-on-rails/c#,ruby-on-rails,1.0
asp.net-mvc/.net,asp.net-mvc,1.0
c#,c#/.net/winforms,0.3333333333333333
jquery/email,jquery,1.0
sql-server/sql/wcf,c#/wcf,0.5
c#,c#,1.0
java,java/web-services,0.5
c#/.net,file,0.0
javascript/java,javascript,1.0
c#/java/.net,java,1.0
c#,cocoa,0.0
jquery/javascript,javascript/jquery/user-interface,0.6666666666666666
php,php,1.0
regex/java/c#,c#/java/regex,1.0
macos,debugging,0.0
algorithm,security,0.0
python/sql,python/sql/database/performance,0.5
sql-server,sql-server-2005,0.0
ruby-on-rails,ruby-on-rails/forms,0.5
c#/.net,visual-studio-2008/unit-testing,0.0
css/html,css/internet-explorer,0.5
vb.net/c#,asp.net/vb.net,0.5
iis/asp.net,iis,1.0
database/c#,database-design,0.0
sharepoint,sharepoint,1.0
sql-server/sql,sql-server/tsql,0.5
c#/oop,.net,0.0
windows,c++/windows,0.5
javascript/php,php/javascript,1.0
javascript,javascript,1.0
c#/.net,language-agnostic/oop,0.0
oracle/sql,sql/oracle,1.0
asp.net-mvc/c#,asp.net-mvc,1.0
javascript/c#/regex,javascript/string,0.5
mysql/php/sql,php/mysql,1.0
generics/c#/.net,c#/generics,1.0
java,java,1.0
unix/c#,cocoa,0.0
css,php/asp.net/design,0.0
sql,sql-server,0.0
asp.net/c#,asp.net,1.0
asp.net-mvc,c#/asp.net-mvc,0.5
ms-access,ms-access,1.0
c#/.net,.net,1.0
ruby-on-rails/validation/ruby,ruby-on-rails/ruby,1.0
html/events/javascript,javascript/html,1.0
.net,visual-studio/visual-studio-2008/performance,0.0
sql-server/sql-server-2005/sql/tsql/stored-procedures,sql/sql-server/visual-studio-2008,0.6666666666666666
iphone/objective-c,iphone/cocoa-touch,0.5
c#/.net,c#,1.0
jquery,jquery,1.0
java/eclipse,java/eclipse,1.0
c#,actionscript-3,0.0
reporting-services,reporting-services,1.0
html/javascript/css,javascript,1.0
php/apache,php/apache,1.0
python/database/sql,python,1.0
c#,php/javascript,0.0
iphone/javascript,javascript/iphone/css,0.6666666666666666
html/c#,.net,0.0
c#,iphone,0.0
c#,algorithm,0.0
perl,perl,1.0
mysql/php,php/mysql,1.0
sql/sql-server/tsql,sql/tsql,1.0
c#,css,0.0
iphone,iphone/cocoa-touch,0.5
c#,visual-studio-2005,0.0
java,java,1.0
multithreading/c++/c,c++/c/multithreading,1.0
asp.net/javascript/c#,asp.net,1.0
cocoa/objective-c/cocoa-touch/iphone,cocoa,1.0
sql/sql-server,performance,0.0
python,python,1.0
java/web-services,java/flex,0.5
macos/linux/c++,linux/macos,1.0
c#,iphone/cocoa/cocoa-touch,0.0
c#,c#/.net/arrays/string,0.25
wpf/data-binding/c#,c#/wpf/data-binding,1.0
java,performance,0.0
c#/.net,database/database-design,0.0
django/python,python/django,1.0
c#,asp.net/html/sharepoint,0.0
c++/unix,c++,1.0
wpf/c#/.net/winforms,wpf,1.0
ruby-on-rails/ruby,ruby-on-rails,1.0
wpf/c#/.net,.net/wpf,1.0
javascript/parsing,javascript,1.0
c#,c#,1.0
asp.net/c#,asp.net,1.0
c#/wpf,c#/wpf,1.0
asp.net-mvc,asp.net-mvc,1.0
asp.net/javascript,asp.net/javascript,1.0
c#/.net/windows,.net,1.0
c++,c++/linux,0.5
java/c#,c#/java,1.0
c#,c#,1.0
hibernate/java,hibernate,1.0
.net/c#,.net,1.0
python,python,1.0
mysql,mysql,1.0
javascript,html,0.0
c#,c#/winapi,0.5
c#/windows/.net,c++/winapi,0.0
c#,c#,1.0
c#/.net,c#/.net,1.0
excel,excel,1.0
c#/entity-framework/.net,entity-framework,1.0
visual-studio,visual-studio,1.0
java/linux/user-interface,java/linux/unix,0.6666666666666666
c#,winapi,0.0
sql/sql-server/stored-procedures,sql,1.0
c#/.net,c#/.net/file,0.6666666666666666
c#,c#,1.0
javascript/html/asp.net,asp.net/javascript,1.0
javascript,javascript/html,0.5
.net/c#,c#/.net/asp.net,0.6666666666666666
asp.net/c#,asp.net/vb.net,0.5
javascript,ruby-on-rails,0.0
asp.net,asp.net/ajax,0.5
oop,flex/actionscript-3,0.0
c#,c#/.net,0.5
c#,c++/c,0.0
wpf/c#,.net/wpf,0.5
c#/.net,c#/.net,1.0
javascript/c#,javascript,1.0
sql/sql-server/tsql/sql-server-2005,sql,1.0
silverlight/winforms/c#/asp.net/.net,c#/.net/asp.net/silverlight,1.0
.net/c#/linq/linq-to-sql,c#/.net/linq-to-sql,1.0
windows/c#/winapi/.net,c++,0.0
bash/c#,linux/bash,0.5
.net/c#,.net,1.0
asp.net/asp.net-mvc,asp.net-mvc,1.0
c#/.net,linq-to-sql,0.0
c#/java,actionscript-3/reflection,0.0
c#,asp.net/database/ms-access,0.0
c#,flex,0.0
wpf/c#/.net,wpf,1.0
asp.net-mvc/.net/c#,asp.net-mvc,1.0
c#,.net,0.0
php,php,1.0
asp.net/c#,asp.net/xml,0.5
nhibernate/.net/c#,nhibernate,1.0
css/html/javascript/jquery,html/css,1.0
c#/sql,parsing,0.0
mysql,database/performance,0.0
php,php/oop,0.5
string/perl/c#,perl,1.0
sharepoint/sql/sql-server,sharepoint,1.0
c#,windows,0.0
sql/sql-server,sql/sql-server/tsql,0.6666666666666666
mysql,mysql,1.0
ruby-on-rails,ruby-on-rails/database,0.5
excel,sql-server/database/excel/ms-access,0.25
c#,c#/email,0.5
ajax,ajax/flash,0.5
linux,c,0.0
regex/java/c#/.net,java/regex,1.0
.net/c#/xml,c#/web-services,0.5
asp.net/c#,c#/asp.net/vb.net,0.6666666666666666
html/c#/.net,language-agnostic/design-patterns,0.0
asp.net-mvc/asp.net,asp.net-mvc,1.0
java,java/apache,0.5
ruby-on-rails,ruby-on-rails,1.0
wpf,wpf,1.0
mysql/java/sql,mysql,1.0
c#/sql-server,.net,0.0
php/apache,php,1.0
sql-server/wcf/sql-server-2005,c#/.net/linq-to-sql,0.0
asp.net/c#,c#/asp.net,1.0
sql-server,sql-server,1.0
c#/.net,c#/wpf,0.5
iis/asp.net,asp.net/iis,1.0
c#,php,0.0
java,java/flex,0.5
asp.net/html/javascript,java/php/html,0.3333333333333333
windows/internet-explorer/visual-studio/.net,internet-explorer,1.0
wpf/c#/data-binding,c#/.net/wpf/data-binding,0.75
java,java/optimization/string,0.3333333333333333
python,python,1.0
javascript,javascript,1.0
c#/.net,visual-studio/visual-studio-2005,0.0
xml,xml/parsing,0.5
c#/c++/design/.net,design/oop,0.5
c++/networking,c++,1.0
c#,javascript/jquery,0.0
wpf/c#,wpf,1.0
excel/java,java,1.0
sql,sql-server/tsql,0.0
c#,asp.net-mvc,0.0
c#,excel,0.0
c#,c++/visual-studio-2008/visual-c++,0.0
c#/.net,entity-framework,0.0
c#/.net/string,c#/parsing,0.5
java/c#/.net,java,1.0
c#,flex,0.0
iphone,iphone/cocoa/cocoa-touch,0.3333333333333333
css,css,1.0
debugging/windows/visual-studio/c#,debugging,1.0
asp.net,asp.net/visual-studio-2008,0.5
c#,c++/internet-explorer/user-interface,0.0
java,java/security,0.5
c++,c++/performance,0.5
c#,python,0.0
jquery/javascript/html,javascript/jquery/ajax,0.6666666666666666
c#/.net,c++/c,0.0
c#/.net,.net,1.0
php/mysql,php/mysql,1.0
iphone/objective-c,iphone,1.0
flex/actionscript-3,flex/actionscript-3,1.0
iphone/cocoa-touch,iphone,1.0
asp.net-mvc/asp.net,asp.net/asp.net-mvc,1.0
java/generics,java/generics,1.0
xml/perl,.net/xml,0.5
c#,visual-studio,0.0
ruby-on-rails,ruby-on-rails,1.0
debugging/c++/.net/c#,windows,0.0
iphone,objective-c,0.0
php/javascript/html,php,1.0
c#,database-design,0.0
.net,java,0.0
sql/sql-server/mysql/tsql,sql/sql-server,1.0
c#,iphone,0.0
c#,html/design,0.0
django/python,django,1.0
sql-server/sql/database,sql-server/stored-procedures,0.5
java,java/database/oracle,0.3333333333333333
c#,vb.net,0.0
c#,.net,0.0
c#/.net,vb.net,0.0
ruby-on-rails/php/ruby,html/ruby-on-rails/forms,0.3333333333333333
iphone/cocoa-touch/objective-c,iphone,1.0
sharepoint/asp.net,asp.net/sharepoint,1.0
sql/sql-server,sql-server/sql-server-2005,0.5
c#,algorithm/optimization/performance,0.0
visual-studio/.net,asp.net/asp.net-mvc,0.0
flex/javascript,flex/flash,0.5
python,python,1.0
java/apache,java,1.0
c#/vb.net/.net,c#/vb.net,1.0
javascript/jquery/asp.net/html,asp.net/javascript/jquery,1.0
iphone,iphone,1.0
winapi,php,0.0
sql-server/sql,sql-server,1.0
django/python,python/django,1.0
database,.net/sql-server/file,0.0
linq/.net/entity-framework/c#,vb.net/linq,0.5
sql/c#/.net/sql-server,c#,1.0
java,java,1.0
macos/java,java/user-interface/macos,0.6666666666666666
php,php,1.0
iphone/objective-c/database,iphone,1.0
asp.net/c#,asp.net/linq,0.5
iphone,iphone/cocoa-touch,0.5
php,php,1.0
c#,c#/asp.net,0.5
sql/sql-server/mysql,sql/sql-server/tsql,0.6666666666666666
.net/asp.net-mvc/c#,asp.net/asp.net-mvc,0.5
java/xml/c#/.net,c#/java,1.0
java,java/sql-server/hibernate,0.3333333333333333
ruby-on-rails/ruby,ruby-on-rails,1.0
c#,c#/file,0.5
c,c,1.0
c#,c#,1.0
java,java,1.0
asp.net-mvc/c#,asp.net-mvc,1.0
.net/c#,xml/vb.net/linq,0.0
xml/php,php/xml/arrays/parsing,0.5
visual-studio/visual-studio-2008,.net/svn/version-control,0.0
c#,visual-studio/version-control,0.0
jquery/javascript,jquery,1.0
ruby-on-rails/java/php,java/html,0.5
xml/.net/c#,c#/xml,1.0
asp.net/c#,asp.net,1.0
